warp_threshold,black_thresh,edge_band,dark_thresh,bright_thresh,mask_ksize,clahe_clip,clahe_tile,a_gain,b_gain,bilateral_d,bilateral_sigma_color,bilateral_sigma_space,nlm_h,nlm_h_color,nlm_template_window,nlm_search_window,inpaint_method,inpaint_radius,sharpness,sharp_sigma,accuracy
6,12,24,12,240,3,1.8,8,1.25,1.3,9,75,75,10.0,10.0,7,21,ns,3.0,1.6,1.2,0.92
6,12,24,12,240,3,1.8,8,1.25,1.3,9,75,75,10.0,10.0,7,21,ns,3.0,2.0,1.2,0.92
6,12,24,12,240,3,2.2,8,1.25,1.3,9,75,75,10.0,10.0,7,21,ns,3.0,1.6,1.2,0.92
6,12,24,12,240,3,2.2,8,1.25,1.3,9,75,75,10.0,10.0,7,21,ns,3.0,2.0,1.2,0.92
6,12,24,12,245,3,1.8,8,1.25,1.3,9,75,75,10.0,10.0,7,21,ns,3.0,1.6,1.2,0.92
6,12,24,12,245,3,1.8,8,1.25,1.3,9,75,75,10.0,10.0,7,21,ns,3.0,2.0,1.2,0.92
6,12,24,12,245,3,2.2,8,1.25,1.3,9,75,75,10.0,10.0,7,21,ns,3.0,1.6,1.2,0.92
6,12,24,12,245,3,2.2,8,1.25,1.3,9,75,75,10.0,10.0,7,21,ns,3.0,2.0,1.2,0.92
6,12,24,15,240,3,1.8,8,1.25,1.3,9,75,75,10.0,10.0,7,21,ns,3.0,1.6,1.2,0.92
6,12,24,15,240,3,1.8,8,1.25,1.3,9,75,75,10.0,10.0,7,21,ns,3.0,2.0,1.2,0.92
6,12,24,15,240,3,2.2,8,1.25,1.3,9,75,75,10.0,10.0,7,21,ns,3.0,1.6,1.2,0.93
6,12,24,15,240,3,2.2,8,1.25,1.3,9,75,75,10.0,10.0,7,21,ns,3.0,2.0,1.2,0.92
6,12,24,15,245,3,1.8,8,1.25,1.3,9,75,75,10.0,10.0,7,21,ns,3.0,1.6,1.2,0.92
6,12,24,15,245,3,1.8,8,1.25,1.3,9,75,75,10.0,10.0,7,21,ns,3.0,2.0,1.2,0.92
6,12,24,15,245,3,2.2,8,1.25,1.3,9,75,75,10.0,10.0,7,21,ns,3.0,1.6,1.2,0.93
6,12,24,15,245,3,2.2,8,1.25,1.3,9,75,75,10.0,10.0,7,21,ns,3.0,2.0,1.2,0.92
8,12,24,12,240,3,1.8,8,1.25,1.3,9,75,75,10.0,10.0,7,21,ns,3.0,1.6,1.2,0.91
8,12,24,12,240,3,1.8,8,1.25,1.3,9,75,75,10.0,10.0,7,21,ns,3.0,2.0,1.2,0.91
8,12,24,12,240,3,2.2,8,1.25,1.3,9,75,75,10.0,10.0,7,21,ns,3.0,1.6,1.2,0.91
8,12,24,12,240,3,2.2,8,1.25,1.3,9,75,75,10.0,10.0,7,21,ns,3.0,2.0,1.2,0.91
8,12,24,12,245,3,1.8,8,1.25,1.3,9,75,75,10.0,10.0,7,21,ns,3.0,1.6,1.2,0.91
8,12,24,12,245,3,1.8,8,1.25,1.3,9,75,75,10.0,10.0,7,21,ns,3.0,2.0,1.2,0.91
8,12,24,12,245,3,2.2,8,1.25,1.3,9,75,75,10.0,10.0,7,21,ns,3.0,1.6,1.2,0.91
8,12,24,12,245,3,2.2,8,1.25,1.3,9,75,75,10.0,10.0,7,21,ns,3.0,2.0,1.2,0.91
8,12,24,15,240,3,1.8,8,1.25,1.3,9,75,75,10.0,10.0,7,21,ns,3.0,1.6,1.2,0.91
8,12,24,15,240,3,1.8,8,1.25,1.3,9,75,75,10.0,10.0,7,21,ns,3.0,2.0,1.2,0.91
8,12,24,15,240,3,2.2,8,1.25,1.3,9,75,75,10.0,10.0,7,21,ns,3.0,1.6,1.2,0.91
8,12,24,15,240,3,2.2,8,1.25,1.3,9,75,75,10.0,10.0,7,21,ns,3.0,2.0,1.2,0.91
8,12,24,15,245,3,1.8,8,1.25,1.3,9,75,75,10.0,10.0,7,21,ns,3.0,1.6,1.2,0.91
8,12,24,15,245,3,1.8,8,1.25,1.3,9,75,75,10.0,10.0,7,21,ns,3.0,2.0,1.2,0.91
8,12,24,15,245,3,2.2,8,1.25,1.3,9,75,75,10.0,10.0,7,21,ns,3.0,1.6,1.2,0.91
8,12,24,15,245,3,2.2,8,1.25,1.3,9,75,75,10.0,10.0,7,21,ns,3.0,2.0,1.2,0.91
